COUNTRY,PERNUM,AGE,SEX,MARST,INDIG,EDATTAIN,YRSCHOOL,EMPSTAT,INCEARN
840,5,18,2,1,2,3,12,3,0
484,5,10,1,1,1,1,3,0,99999999
484,2,18,1,1,2,3,12,3,99999999
484,5,35,2,2,1,2,9,3,99999999
484,4,13,2,1,1,2,7,3,99999999
484,2,7,1,1,1,1,1,0,99999999
484,2,25,2,2,2,3,12,3,99999999
484,1,45,1,2,2,1,0,1,0
840,1,72,1,2,2,4,13,3,0
484,3,49,2,2,1,2,9,3,99999999
484,2,9,2,1,2,1,2,0,99999999
484,4,8,1,1,1,1,3,0,99999999
484,8,28,2,3,2,2,6,1,3000
484,6,25,1,2,1,2,11,1,3429
484,1,32,1,2,2,4,16,1,6400
484,4,41,2,2,2,3,12,1,9200
840,1,46,1,3,2,3,12,1,20200
484,1,49,1,2,2,2,9,1,3429
840,1,30,2,1,2,3,12,1,26000
484,3,42,2,1,2,2,9,1,3857
484,1,50,1,2,2,2,6,1,3857
484,3,21,1,1,2,1,4,3,99999999
484,3,10,2,1,2,1,3,0,99999999
484,4,9,2,1,2,1,2,0,99999999
484,6,20,1,1,1,2,9,1,5571
840,2,44,1,2,2,3,12,1,35000
484,4,11,1,1,2,1,5,0,99999999
484,1,51,1,2,2,3,12,1,3857
484,2,8,2,1,2,1,2,0,99999999
484,1,33,1,2,2,2,6,1,2000
484,3,17,1,1,1,2,7,3,99999999
484,2,2,2,1,2,0,99,0,99999999
484,3,16,2,1,1,2,11,3,99999999
484,1,58,1,4,2,2,6,1,6429
484,1,40,1,2,1,2,6,1,2571
484,1,24,2,2,1,2,9,3,99999999
484,1,29,1,2,2,3,12,1,3857
484,1,67,1,4,1,1,2,1,1286
484,3,19,2,2,1,1,2,3,99999999
484,4,26,2,2,2,2,9,1,857
484,2,3,1,1,1,1,0,0,99999999
484,1,29,2,1,2,1,0,1,5143
484,4,44,2,2,1,1,4,3,99999999
484,3,13,2,1,2,2,7,3,99999999
840,1,28,2,1,2,4,13,1,64000
484,1,44,1,2,1,2,9,1,4286
840,2,49,1,2,2,4,13,1,80000
484,2,10,2,1,1,1,3,0,99999999
484,3,25,2,2,2,2,9,3,99999999
840,1,23,1,2,2,3,12,1,25000
484,3,67,2,2,1,1,3,3,99999999
484,3,20,1,1,2,2,11,3,99999999
840,2,49,1,1,2,3,12,3,0
484,1,31,2,1,1,3,12,1,4000
484,2,20,2,1,1,3,12,3,99999999
484,2,9,2,1,2,1,0,0,99999999
840,1,42,2,2,2,4,13,2,0
840,3,15,1,1,2,2,8,0,0
840,2,24,1,2,2,3,12,1,24000
484,6,2,1,1,1,0,99,0,99999999
484,1,23,1,2,2,2,9,1,6429
840,1,46,2,3,2,4,13,1,115000
484,2,28,2,2,2,2,9,3,99999999
484,5,27,1,2,1,1,0,1,3857
484,1,64,1,2,2,1,0,3,99999999
840,3,5,2,1,2,1,0,0,0
484,1,43,1,2,2,1,3,1,99999998
840,2,75,1,2,2,4,13,3,0
